Elapsed Time (s),Charge Ah,Velocity m/s,Solar Output W(dc),Battery Connection 
94800.0,4812400.0,0,0,0
95100.0,4812400.0,0,0,0
95400.0,4812400.0,0,0,0
95700.0,4812400.0,0,0,0
96000.0,4812400.0,0,0,0
96300.0,4812400.0,0,0,0
96600.0,4812400.0,0,0,0
96900.0,4812400.0,0,0,0
97200.0,4812400.0,0,0,0
97500.0,4812400.0,0,0,0
97800.0,4812400.0,0,0,0
98100.0,4812400.0,0,0,0
98400.0,4812400.0,0,0,0
98700.0,4812400.0,0,0,0
99000.0,4812400.0,0,0,0
99300.0,4812400.0,0,0,0
99600.0,4812400.0,0,0,0
99900.0,4812400.0,0,0,0
100200.0,4812400.0,0,0,0
100500.0,4812400.0,0,0,0
100800.0,4812400.0,0,0,0
101100.0,4812400.0,0,0,0
101400.0,4812400.0,0,0,0
101700.0,4812400.0,0,0,0
102000.0,4812400.0,0,0,0
102300.0,4812400.0,0,0,0
102600.0,4812400.0,0,0,0
102900.0,4812400.0,0,0,0
103200.0,4812400.0,0,0,0
103500.0,4812400.0,0,0,0
103800.0,4812400.0,0,0,0
104100.0,4812400.0,0,0,0
104400.0,4812400.0,0,0,0
104700.0,4812400.0,0,0,0
105000.0,4812400.0,0,0,0
105300.0,4812400.0,0,0,0
105600.0,4812400.0,0,0,0
105900.0,4812400.0,0,0,0
106200.0,4812400.0,0,0,0
106500.0,4812400.0,0,0,0
106800.0,4812400.0,0,0,0
107100.0,4812400.0,0,0,0
107400.0,4812400.0,0,0,0
107700.0,4812400.0,0,0,0
108000.0,4812400.0,0,0,0
108300.0,4812400.0,0,0,0
108600.0,4812400.0,0,0,0
108900.0,4812400.0,0,0,0
109200.0,4812400.0,0,0,0
109500.0,4812400.0,0,0,0
109800.0,4812400.0,0,0,0
110100.0,4812400.0,0,0,0
110400.0,4812400.0,0,0,0
110700.0,4812400.0,0,0,0
111000.0,4812400.0,0,0,0
111300.0,4812400.0,0,0,0
111600.0,4812400.0,0,0,0
111900.0,4812400.0,0,0,0
112200.0,4812400.0,0,0,0
112500.0,4812400.0,0,0,0
112800.0,4812400.0,0,0,0
113100.0,4812400.0,0,0,0
113400.0,4812400.0,0,0,0
113700.0,4812400.0,0,0,0
114000.0,4812400.0,0,0,0
114300.0,4812400.0,0,0,0
114600.0,4812400.0,0,0,0
114900.0,4812400.0,0,0,0
115200.0,4812400.0,0,0,0
115500.0,4812400.0,0,0,0
115800.0,4812400.0,0,0,0
116100.0,4812400.0,0,0,0
116400.0,4812400.0,0,0,0
116700.0,4812400.0,0,0,0
117000.0,4812400.0,0,0,0
117300.0,4812400.0,0,0,0
117600.0,4812400.0,0,0,0
117900.0,4812400.0,0,0,0
118200.0,4812400.0,0,0,0
118500.0,4812400.0,0,0,0
118800.0,4968400.0,0,0,0
119100.0,5163400.0,0,0,0
119400.0,5358400.0,0,0,0
119700.0,5553400.0,0,0,0
120000.0,5748400.0,0,0,0
120300.0,5943400.0,0,0,0
120600.0,6138400.0,0,0,0
120900.0,6333400.0,0,0,0
121200.0,6528400.0,0,0,0
121500.0,6723400.0,0,0,0
121800.0,6918400.0,0,0,0
122100.0,7113400.0,0,0,0
122400.0,7308400.0,0,0,0
122700.0,7503400.0,0,0,0
123000.0,7698400.0,0,0,0
123300.0,7893400.0,0,0,0
123600.0,8088400.0,0,0,0
123900.0,8283400.0,0,0,0
124200.0,8478400.0,0,0,0
124500.0,8673400.0,0,0,0
124800.0,8868400.0,0,0,0
125100.0,9063400.0,0,0,0
125400.0,9258400.0,0,0,0
125700.0,9453400.0,0,0,0
126000.0,9417280.0,24.0,0,0
126300.0,9323380.0,24.0,0,0
126600.0,9229480.0,24.0,0,0
126900.0,9135580.0,24.0,0,0
127200.0,9041680.0,24.0,0,0
127500.0,8947780.0,24.0,0,0
127800.0,8853880.0,24.0,0,0
128100.0,8759980.0,24.0,0,0
128400.0,8666080.0,24.0,0,0
128700.0,8572180.0,24.0,0,0
129000.0,8478280.0,24.0,0,0
129300.0,8384380.0,24.0,0,0
129600.0,8290480.0,24.0,0,0
129900.0,8196580.0,24.0,0,0
130200.0,8102680.0,24.0,0,0
130500.0,8008780.0,24.0,0,0
130800.0,7914880.0,24.0,0,0
131100.0,7820980.0,24.0,0,0
131400.0,7727080.0,24.0,0,0
131700.0,7633180.0,24.0,0,0
132000.0,7539280.0,24.0,0,0
132300.0,7445380.0,24.0,0,0
132600.0,7351480.0,24.0,0,0
132900.0,7257580.0,24.0,0,0
133200.0,7163680.0,24.0,0,0
133500.0,7069780.0,24.0,0,0
133800.0,6975880.0,24.0,0,0
134100.0,6881980.0,24.0,0,0
134400.0,6788080.0,24.0,0,0
134700.0,6694180.0,24.0,0,0
135000.0,6600280.0,24.0,0,0
135300.0,6506380.0,24.0,0,0
135600.0,6412480.0,24.0,0,0
135900.0,6318580.0,24.0,0,0
136200.0,6224680.0,24.0,0,0
136500.0,6130780.0,24.0,0,0
136800.0,6268000.0,0,0,0
137100.0,6463000.0,0,0,0
137400.0,6658000.0,0,0,0
137700.0,6853000.0,0,0,0
138000.0,7048000.0,0,0,0
138300.0,7243000.0,0,0,0
138600.0,7438000.0,0,0,0
138900.0,7633000.0,0,0,0
139200.0,7828000.0,0,0,0
139500.0,8023000.0,0,0,0
139800.0,8218000.0,0,0,0
140100.0,8413000.0,0,0,0
140400.0,8376880.0,24.0,0,0
140700.0,8282980.0,24.0,0,0
141000.0,8189080.0,24.0,0,0
141300.0,8095180.0,24.0,0,0
141600.0,8001280.0,24.0,0,0
141900.0,7907380.0,24.0,0,0
142200.0,7813480.0,24.0,0,0
142500.0,7719580.0,24.0,0,0
142800.0,7625680.0,24.0,0,0
143100.0,7531780.0,24.0,0,0
143400.0,7437880.0,24.0,0,0
143700.0,7343980.0,24.0,0,0
144000.0,7250080.0,24.0,0,0
144300.0,7156180.0,24.0,0,0
144600.0,7062280.0,24.0,0,0
144900.0,6968380.0,24.0,0,0
145200.0,6874480.0,24.0,0,0
145500.0,6780580.0,24.0,0,0
145800.0,6686680.0,24.0,0,0
146100.0,6592780.0,24.0,0,0
146400.0,6498880.0,24.0,0,0
146700.0,6404980.0,24.0,0,0
147000.0,6311080.0,24.0,0,0
147300.0,6217180.0,24.0,0,0
147600.0,6123280.0,24.0,0,0
147900.0,6029380.0,24.0,0,0
148200.0,5935480.0,24.0,0,0
148500.0,5841580.0,24.0,0,0
148800.0,5747680.0,24.0,0,0
149100.0,5653780.0,24.0,0,0
149400.0,5559880.0,24.0,0,0
149700.0,5465980.0,24.0,0,0
150000.0,5372080.0,24.0,0,0
150300.0,5278180.0,24.0,0,0
150600.0,5184280.0,24.0,0,0
150900.0,5090380.0,24.0,0,0
151200.0,4996480.0,24.0,0,0
151500.0,4902580.0,24.0,0,0
151800.0,4808680.0,24.0,0,0
152100.0,4714780.0,24.0,0,0
152400.0,4620880.0,24.0,0,0
152700.0,4526980.0,24.0,0,0
153000.0,4433080.0,24.0,0,0
153300.0,4339180.0,24.0,0,0
153600.0,4245280.0,24.0,0,0
153900.0,4151380.0,24.0,0,0
154200.0,4057480.0,24.0,0,0
154500.0,3963580.0,24.0,0,0
154800.0,4100800.0,0,0,0
155100.0,4295800.0,0,0,0
155400.0,4490800.0,0,0,0
155700.0,4685800.0,0,0,0
156000.0,4880800.0,0,0,0
156300.0,5075800.0,0,0,0
156600.0,5270800.0,0,0,0
156900.0,5465800.0,0,0,0
157200.0,5660800.0,0,0,0
157500.0,5855800.0,0,0,0
157800.0,6050800.0,0,0,0
158100.0,6245800.0,0,0,0
158400.0,6440800.0,0,0,0
158700.0,6635800.0,0,0,0
159000.0,6830800.0,0,0,0
159300.0,7025800.0,0,0,0
159600.0,7220800.0,0,0,0
159900.0,7415800.0,0,0,0
160200.0,7610800.0,0,0,0
160500.0,7805800.0,0,0,0
160800.0,8000800.0,0,0,0
161100.0,8195800.0,0,0,0
161400.0,8390800.0,0,0,0
161700.0,8585800.0,0,0,0
162000.0,8624800.0,0,0,0
162300.0,8624800.0,0,0,0
162600.0,8624800.0,0,0,0
162900.0,8624800.0,0,0,0
163200.0,8624800.0,0,0,0
163500.0,8624800.0,0,0,0
163800.0,8624800.0,0,0,0
164100.0,8624800.0,0,0,0
164400.0,8624800.0,0,0,0
164700.0,8624800.0,0,0,0
165000.0,8624800.0,0,0,0
165300.0,8624800.0,0,0,0
165600.0,8624800.0,0,0,0
165900.0,8624800.0,0,0,0
166200.0,8624800.0,0,0,0
166500.0,8624800.0,0,0,0
166800.0,8624800.0,0,0,0
167100.0,8624800.0,0,0,0
167400.0,8624800.0,0,0,0
167700.0,8624800.0,0,0,0
168000.0,8624800.0,0,0,0
168300.0,8624800.0,0,0,0
168600.0,8624800.0,0,0,0
168900.0,8624800.0,0,0,0
169200.0,8624800.0,0,0,0
169500.0,8624800.0,0,0,0
169800.0,8624800.0,0,0,0
170100.0,8624800.0,0,0,0
170400.0,8624800.0,0,0,0
170700.0,8624800.0,0,0,0
171000.0,8624800.0,0,0,0
171300.0,8624800.0,0,0,0
171600.0,8624800.0,0,0,0
171900.0,8624800.0,0,0,0
172200.0,8624800.0,0,0,0
172500.0,8624800.0,0,0,0
172800.0,8624800.0,0,0,0
173100.0,8624800.0,0,0,0
173400.0,8624800.0,0,0,0
173700.0,8624800.0,0,0,0
174000.0,8624800.0,0,0,0
174300.0,8624800.0,0,0,0
174600.0,8624800.0,0,0,0
174900.0,8624800.0,0,0,0
175200.0,8624800.0,0,0,0
175500.0,8624800.0,0,0,0
175800.0,8624800.0,0,0,0
176100.0,8624800.0,0,0,0
176400.0,8624800.0,0,0,0
176700.0,8624800.0,0,0,0
177000.0,8624800.0,0,0,0
177300.0,8624800.0,0,0,0
177600.0,8624800.0,0,0,0
177900.0,8624800.0,0,0,0
178200.0,8624800.0,0,0,0
178500.0,8624800.0,0,0,0
178800.0,8624800.0,0,0,0
179100.0,8624800.0,0,0,0
179400.0,8624800.0,0,0,0
179700.0,8624800.0,0,0,0
180000.0,8624800.0,0,0,0
180300.0,8624800.0,0,0,0
180600.0,8624800.0,0,0,0
180900.0,8624800.0,0,0,0
181200.0,8624800.0,0,0,0
181500.0,8624800.0,0,0,0
181800.0,8624800.0,0,0,0
182100.0,8624800.0,0,0,0
182400.0,8624800.0,0,0,0
182700.0,8624800.0,0,0,0
183000.0,8624800.0,0,0,0
183300.0,8624800.0,0,0,0
183600.0,8624800.0,0,0,0
183900.0,8624800.0,0,0,0
184200.0,8624800.0,0,0,0
184500.0,8624800.0,0,0,0
184800.0,8624800.0,0,0,0
185100.0,8624800.0,0,0,0
